色分類,L*,a*,b*
高白色,97.17,2.74,-10.66
高白色,96.1,1.23,-4.15
白,94.76,-1.52,8.55
ナチュラル,93.23,-1.07,17.46
ナチュラル,92.93,-0.79,19.15
グレー,90.58,1.5,4.66
グレー,86.01,3.09,5.24
グレー,80.35,2.7,3.38
グレー,74.04,1.83,2.47
グレー,64.55,0.99,0.85
グレー,56.14,0.64,-0.4
グレー,40.49,-0.26,-0.93
グレー,34.16,0.2,0.68
黒,29.29,-1.03,1.35
黒,21.48,-0.17,0.05
茶,85.87,3.12,11.93
茶,81.21,2.49,11.45
グレー,73.75,0.53,9.63
茶,73.76,5.4,8.21
茶,69.48,3.77,8.02
茶,57.41,5.37,10.51
グレー,78.98,0.83,4.74
グレー,69.92,-1.31,2.18
グレー,56.02,-2,1.52
茶,79.47,6.57,16.77
茶,74.25,7.01,17.83
茶,71.77,10.16,22.34
ピンク,81.28,5.75,8.42
茶,66.94,6.46,11.89
茶,75.17,5.85,18.8
茶,69.9,6.9,15.67
茶,63.73,3.72,18.09
茶,87.22,3.41,11.27
ピンク,87.81,4.26,6.75
ピンク,88.51,7,5.4
紫,82.1,4.44,-0.86
青,82.46,-0.85,-3.32
緑,87.79,-2.22,5.15
グレー,83.66,1.42,7.88
黄色,87.18,6.16,36.88
オレンジ,89.03,5.96,22.51
オレンジ,83.39,8.49,20.03
ピンク,81.4,12.09,12.51
ピンク,87.77,11.12,11.68
ピンク,73.83,28.59,19.62
ピンク,80.25,21.38,7.13
ピンク,66.22,20.78,0.84
紫,57.98,11.05,0.99
紫,66.96,6.01,-16.19
紫,59.46,5.26,-6.86
紫,62.52,1.88,-9.24
青,65.19,-3.37,-16.26
青,74.29,-8.62,-10.12
青,64.65,-11.97,-9.88
青,65.49,-21.77,-12.77
青,71.5,-11.89,-2.17
青,77.27,-15.01,-0.59
緑,80.16,-8.98,9.8
緑,70.68,-14.72,24.82
緑,80.39,-2.94,27.37
黄色,90.24,-4.76,78.64
黄色,84.79,4.47,68.38
黄色,77.38,18.49,59.86
オレンジ,67.45,23.24,56.78
オレンジ,66.31,31.64,60.09
オレンジ,56.53,31.02,40.6
オレンジ,54.76,50.94,37.3
赤,45.43,42.37,26.76
赤,40.26,49.76,24.5
赤,44.65,48.64,11.81
ピンク,61.27,40.51,-1
ピンク,63.76,35.04,-10.64
紫,61.5,17.7,-18.91
青,49.47,-3.43,-30.1
青,58.53,-7.61,-27.09
青,51.59,-16.73,-29.8
青,57.21,-24.19,-29.87
青,71.42,-29.18,-12.82
青,58.09,-36.21,-11.94
緑,55.35,-34.35,11.49
緑,74.4,-33.65,23.26
緑,68.2,-28.15,48.39
緑,71.29,-14.08,50.94
黄色,71.72,1.13,56.8
黄色,73.91,5.96,57.55
オレンジ,71.29,15.71,42.74
茶,55.61,5.64,20.4
茶,60.99,12.89,19.14
茶,55.87,19.19,32.07
オレンジ,54.18,32.92,33.12
オレンジ,56.74,23.92,14.96
オレンジ,45.81,31.9,21.37
赤,41.87,42.12,14.65
赤,45.21,37.25,11.79
ピンク,49.36,22.45,2.14
紫,48.65,14.8,-9.55
紫,46.4,13.4,-16.24
青,39.19,1.69,-17.5
青,51.23,-1.18,-7.76
青,53.19,-9.04,-10.99
青,41.03,-10.95,-9.39
青,63.09,-7.66,3.84
緑,45.71,-18.28,6.35
緑,41.6,-10.36,13
緑,52.96,-12.93,25.79
緑,49.51,-9.06,24.93
緑,71.87,-1.61,10.28
緑,53.98,-2.09,30.42
緑,62.22,4.88,38.14
茶,51.75,9.41,37.05
茶,45.04,8.53,16.35
茶,39.81,10.92,14.3
紫,37.06,21.76,2.59
紫,37.75,14.38,-1.86
青,33.48,-1.68,-14.48
青,29.83,-0.44,-7.77
緑,30.03,-5.48,-2.71
緑,31.16,-5.06,8.52
緑,32.83,-1.31,10.12
茶,37.31,2.73,8.58
ピンク,81.53,62.24,-3.75
ピンク,80.99,55.14,28.77
オレンジ,92.4,47.14,68.24
黄色,102.94,-33.21,84.52
緑,86.32,-59.82,58.49
青,69.69,-30.06,-26.36
紫,66.01,27.95,-36.03
紫,39.61,35.78,-0.17
紫,40.01,46.01,5.19
